Location,General government expenditure,Per capita government expenditure on health (PPP int. $),Per capita government expenditure on health at average exchange rate (US$),Per capita total expenditure on health (PPP int. $),Per capita total expenditure on health at average exchange rate (US$),Private expenditure on health as percentage of total expenditure on health,Private prepaid plans as percentage of private expenditure on health,Total expenditure on health as percentage of gross domestic product
Lithuania,0.13,728.00,381.00,1041.00,545.00,0.30,0.01,0.06
Luxembourg,0.17,5233.00,5991.00,5773.00,6610.00,0.09,0.19,0.07
Madagascar,0.09,21.00,6.00,34.00,9.00,0.37,0.11,0.03
Malawi,0.18,51.00,15.00,70.00,20.00,0.28,0.16,0.12
Malaysia,0.07,226.00,115.00,500.00,255.00,0.55,0.15,0.04
Maldives,0.14,742.00,257.00,882.00,306.00,0.16,0.00,0.10
Mali,0.12,34.00,16.00,65.00,30.00,0.48,0.01,0.06
Malta,0.15,1419.00,1006.00,1825.00,1295.00,0.22,0.08,0.08
Marshall Islands,0.15,589.00,289.00,607.00,298.00,0.03,0.00,0.15
Mauritania,0.05,31.00,13.00,45.00,19.00,0.31,0.00,0.02
Mauritius,0.09,292.00,112.00,581.00,223.00,0.50,0.10,0.04
Mexico,0.11,327.00,217.00,756.00,500.00,0.57,0.08,0.06
Micronesia (Federated States of),0.19,444.00,241.00,491.00,266.00,0.10,0.00,0.12
Monaco,0.16,5309.00,4706.00,7154.00,6343.00,0.26,0.16,0.05
Mongolia,0.11,124.00,44.00,149.00,53.00,0.16,0.00,0.05
Montenegro,0.20,93.00,243.00,117.00,306.00,0.21,,0.07
Morocco,0.06,98.00,34.00,273.00,95.00,0.64,0.24,0.05
Mozambique,0.13,39.00,12.00,56.00,17.00,0.31,0.01,0.05
Myanmar,0.02,7.00,1.00,43.00,4.00,0.83,0.00,0.02
Namibia,0.10,218.00,108.00,338.00,167.00,0.36,0.80,0.05
Nauru,0.25,444.00,335.00,803.00,605.00,0.45,0.00,0.11
Nepal,0.09,24.00,5.00,78.00,17.00,0.70,0.00,0.06
Netherlands,0.16,2768.00,3097.00,3383.00,3784.00,0.18,0.32,0.09
New Zealand,0.19,1905.00,1884.00,2447.00,2420.00,0.22,0.21,0.09
Nicaragua,0.16,137.00,42.00,251.00,76.00,0.45,0.02,0.08
Niger,0.11,14.00,5.00,27.00,10.00,0.47,0.12,0.04
Nigeria,0.04,15.00,10.00,50.00,32.00,0.70,0.07,0.04
Norway,0.18,3780.00,5241.00,4521.00,6267.00,0.16,0.00,0.09
Oman,0.05,321.00,273.00,382.00,325.00,0.16,0.15,0.02
Pakistan,0.01,8.00,3.00,51.00,16.00,0.84,,0.02
Palau,0.16,1003.00,772.00,1084.00,835.00,0.08,0.00,0.11
Panama,0.12,495.00,262.00,721.00,380.00,0.31,0.19,0.07
Papua New Guinea,0.07,111.00,24.00,134.00,29.00,0.17,0.06,0.03
Paraguay,0.13,131.00,45.00,342.00,117.00,0.62,0.11,0.08
Peru,0.13,171.00,83.00,300.00,145.00,0.43,0.19,0.04
Philippines,0.06,88.00,18.00,223.00,45.00,0.60,0.11,0.03
Poland,0.10,636.00,389.00,910.00,556.00,0.30,0.02,0.06
Portugal,0.16,1494.00,1315.00,2080.00,1830.00,0.28,0.07,0.10
Republic of Korea,0.12,819.00,653.00,1487.00,1187.00,0.45,0.07,0.07
Republic of Moldova,0.12,107.00,38.00,190.00,68.00,0.44,0.01,0.08
